vendor_id,display_name,legal_entity_name,has_vendor_record,has_legal_entity_name,has_homepage,has_privacy_notice_source,has_dpa_source,has_subprocessor_source,has_security_source,has_compliance_source,has_source_health,has_jurisdiction_or_region,has_vendor_category,source_count,missing_required_fields,missing_expected_sources,completeness_bucket,requires_human_review
1password,1Password,AgileBits Inc.,True,True,True,True,False,False,True,False,True,True,True,4,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
activecampaign,ActiveCampaign,"ActiveCampaign, LLC",True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
acuity-scheduling,Acuity Scheduling,"Squarespace, Inc.",True,True,True,True,False,False,True,False,True,True,True,2,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
adobe,Adobe,Adobe Inc.,True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
adp,ADP,"ADP, Inc.",True,True,True,True,True,True,True,False,True,True,True,6,,compliance,partial,True
adyen,Adyen,Adyen N.V.,True,True,True,False,False,True,False,False,True,True,True,1,,privacy_notice;dpa;security;compliance,source_coverage_incomplete,True
airtable,Airtable,Formagrid Inc.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
airwallex,Airwallex,Airwallex Pty Ltd,True,True,True,False,False,False,True,False,True,True,True,1,,privacy_notice;dpa;subprocessors_list;compliance,source_coverage_incomplete,True
aiven,Aiven,Aiven Oy,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
akur8,Akur8,Akur8,True,True,True,True,False,False,True,True,True,True,True,4,,dpa;subprocessors_list,partial,True
algolia,Algolia,"Algolia, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
alibaba-cloud-international,Alibaba Cloud International,Alibaba Cloud (Singapore) Private Limited,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
aliyun,阿里云,阿里云计算有限公司,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
alloy,Alloy,"First Mile Group, Inc. (dba Alloy)",True,True,True,True,True,False,False,False,True,True,True,2,,subprocessors_list;security;compliance,source_coverage_incomplete,True
amplitude,Amplitude,"Amplitude, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
anthropic,Anthropic,"Anthropic, PBC",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
applied-systems,Applied Systems,Applied Systems,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
asana,Asana,"Asana, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
athenahealth,athenahealth,athenahealth,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
atlassian,Atlassian,Atlassian Pty Ltd,True,True,True,True,True,True,True,True,True,True,True,6,,,complete_enough_for_review,False
auditboard,AuditBoard,"AuditBoard, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
auth0,Auth0,"Auth0, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
aws,AWS,"Amazon Web Services, Inc.",True,True,True,True,True,True,True,True,True,True,True,6,,,complete_enough_for_review,False
bamboohr,BambooHR,Bamboo HR LLC,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
basecamp,Basecamp,37signals LLC,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
beyondtrust,BeyondTrust,BeyondTrust Corporation,True,True,True,True,True,True,True,False,True,True,True,4,,compliance,partial,True
bigcommerce,BigCommerce,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
bill-com,BILL,"Bill.com, LLC",True,True,True,True,False,True,True,True,True,True,True,4,,dpa,partial,True
bitbucket,Bitbucket,Atlassian Pty Ltd,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
bitdefender,Bitdefender,S.C. BITDEFENDER S.R.L.,True,True,True,True,False,False,True,False,True,True,True,4,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
box,Box,"Box, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
braze,Braze,,True,False,True,True,True,False,False,False,True,True,True,2,legal_entity_name,subprocessors_list;security;compliance,entity_review_needed,True
brevo,Brevo,Sendinblue SAS,True,True,True,True,False,False,True,False,True,True,True,4,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
calendly,Calendly,"Calendly, LLC",True,True,True,True,True,False,True,False,True,True,True,3,,subprocessors_list;compliance,partial,True
campaign-monitor,Campaign Monitor,Campaign Monitor Pty Ltd,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
canva,Canva,Canva Pty Ltd,True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
chainalysis,Chainalysis,Chainalysis Inc.,True,True,True,True,False,False,False,False,True,True,True,1,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
checkout-com,Checkout.com,Checkout Ltd,True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
circleci,CircleCI,"Circle Internet Services, Inc.",True,True,True,True,False,False,True,False,True,True,True,4,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
clickup,ClickUp,"Mango Technologies, Inc.",True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
cloudflare,Cloudflare,"Cloudflare, Inc.",True,True,True,True,True,True,True,True,True,True,True,7,,,complete_enough_for_review,False
cockroach-labs,Cockroach Labs,"Cockroach Labs, Inc.",True,True,True,True,False,False,True,False,True,True,True,3,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
coda,Coda,Coda Project LLC,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
cohere,Cohere,Cohere Inc.,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
commercetools,commercetools,,True,False,True,False,True,False,False,False,True,True,True,1,legal_entity_name,privacy_notice;subprocessors_list;security;compliance,entity_review_needed,True
complyadvantage,ComplyAdvantage,ComplyAdvantage Group Limited,True,True,True,True,False,False,False,False,True,True,True,1,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
confluent,Confluent,,True,False,True,True,False,False,False,False,True,True,True,1,legal_entity_name,dpa;subprocessors_list;security;compliance,entity_review_needed,True
contentful,Contentful,Contentful GmbH,True,True,True,True,True,True,True,True,True,True,True,5,,,complete_enough_for_review,False
culture-amp,Culture Amp,Culture Amp Pty Ltd,True,True,True,True,False,False,True,False,True,True,True,2,,dpa;subprocessors_list;compliance,source_coverage_incomplete,True
customer-io,Customer.io,Peaberry Software Inc. d/b/a Customer.io,True,True,True,True,False,False,False,False,True,True,True,3,,dpa;subprocessors_list;security;compliance,source_coverage_incomplete,True
