vendor_id	source_id	type	current_status	auto_eligible	best_score	best_final_url	best_title
acuity-scheduling	acuity-scheduling-privacy	privacy_notice	404	no			
acuity-scheduling	acuity-scheduling-security	security_page	404	no			
adp	adp-dpa	dpa	404	no			
adp	adp-subprocessors	subprocessors_list	404	no			
aliyun	aliyun-compliance	compliance_page	404	yes	10	https://security.aliyun.com/trust-center?_v_=47edc66742fe36fc0a839ea5700b8cd5	阿里云信任中心 - 阿里云
aliyun	aliyun-dpa	dpa	404	no			
aliyun	aliyun-security	security_page	404	yes	10	https://cn.aliyun.com/security?from_alibabacloud=	安全 - 阿里云
auth0	auth0-compliance	compliance_page	404	no			
auth0	auth0-dpa	dpa	404	no			
auth0	auth0-subprocessors	subprocessors_list	404	no			
bamboohr	bamboohr-subprocessors	subprocessors_list	404	no			
bill-com	bill-com-subprocessors	subprocessors_list	404	no			
bitdefender	bitdefender-terms	terms_of_service	404	no			
cohere	cohere-dpa	dpa	404	no			
contentful	contentful-compliance	compliance_page	404	no			
darwinbox	darwinbox-security	security_page	404	yes	10	https://darwinbox.com/trust/security	Darwinbox Trust Center
deel	deel-subprocessors	subprocessors_list	404	no			
docker	docker-subprocessors	subprocessors_list	404	no			
dropbox	dropbox-subprocessors	subprocessors_list	404	no			
greythr	greythr-security	security_page	404	no			
gusto	gusto-security	security_page	200	no	10	https://gusto.com/security	Security | Gusto
huawei-cloud-cn	huawei-cloud-cn-compliance	compliance_page	404	no			
huawei-cloud-cn	huawei-cloud-cn-security	security_page	404	no			
huawei-cloud-international	huawei-cloud-international-compliance	compliance_page	404	no			
huawei-cloud-international	huawei-cloud-international-security	security_page	404	no			
hugging-face	hugging-face-dpa	dpa	404	yes	10	https://huggingface.co/DPA	DPA (Kang)
hugging-face	hugging-face-subprocessors	subprocessors_list	404	no		https://huggingface.co/privacy	Privacy Policy – Hugging Face
hyperproof	hyperproof-compliance	compliance_page	404	no		https://hyperproof.io/privacy-policy	Privacy Policy - Hyperproof
hyperproof	hyperproof-dpa	dpa	404	yes	17	https://hyperproof.io/dpa	Data Processing Agreement (DPA) | Hyperproof
ibm-cloud	ibm-cloud-subprocessors	subprocessors_list	404	no		https://www.ibm.com/legal	Legal | IBM
intercom	intercom-subprocessors	subprocessors_list	404	no			
lattice	lattice-dpa	dpa	404	no			
microsoft	microsoft-security	security_page	404	yes	10	https://www.microsoft.com/en-us/security	Cloud Security Solutions | Microsoft Security
miro	miro-security	security_page	404	no		https://miro.com/legal/privacy-policy	Privacy Policy
mistral-ai	mistral-ai-dpa	dpa	200	no			
mistral-ai	mistral-ai-security	security_page	404	no		https://legal.mistral.ai/terms	Terms | Mistral AI
mistral-ai	mistral-ai-subprocessors	subprocessors_list	404	no			
mixpanel	mixpanel-security	security_page	404	no		https://mixpanel.com/legal/cdpa	California Data Privacy Addendum | Mobile & Web User Analytics | Mixpanel
monday	monday-subprocessors	subprocessors_list	404	no		https://monday.com/l/privacy/privacy-policy	Privacy Policy - monday.com Legal Portal
new-relic	new-relic-dpa	dpa	404	no			
new-relic	new-relic-subprocessors	subprocessors_list	404	no	-8	https://trust.newrelic.com/	Loading...
odoo	odoo-dpa	dpa	404	no			
okta	okta-dpa	dpa	404	yes	10	https://www.okta.com/sites/default/files/2021-11/OKTA-DPA.pdf	
okta	okta-inc-terms	terms_of_service	404	yes	10	https://www.okta.com/legal/terms-of-service	Terms of Service | Okta
okta	okta-subprocessors	subprocessors_list	404	no			
onepassword	onepassword-dpa	dpa	404	no			
onepassword	onepassword-subprocessors	subprocessors_list	404	no		https://1password.com/legal-center	Legal Center: Our Policies | 1Password
onetrust	onetrust-subprocessors	subprocessors_list	404	no		https://www.onetrust.com/error-pages/404	404 Not Found | OneTrust
oracle-cloud	oracle-cloud-subprocessors	subprocessors_list	404	no			
pagerduty	pagerduty-compliance	compliance_page	404	no			
pinecone	pinecone-privacy	privacy_notice	404	no			
planetscale	planetscale-security	security_page	404	no	-8	https://planetscale.com/	PlanetScale - the worldâs fastest and most scalable cloud hosting for Vitess and Postgres
posthog	posthog-compliance	compliance_page	404	no		https://posthog.com/privacy	
posthog	posthog-security	security_page	404	no		https://posthog.com/privacy	
qualtrics	qualtrics-dpa	dpa	404	no			
qualtrics	qualtrics-subprocessors	subprocessors_list	404	yes	17	https://www.qualtrics.com/subprocessor-list	Qualtrics Subprocessors - Qualtrics
quickbooks	quickbooks-dpa	dpa	429	no			
retool	retool-privacy	privacy_notice	200	no	20	https://docs.retool.com/legal/privacy-policy	Privacy Policy | Retool Docs
retool	retool-security	security_page	404	no			
rippling	rippling-dpa	dpa	404	no			
rippling	rippling-privacy	privacy_notice	404	no			
rippling	rippling-subprocessors	subprocessors_list	404	no			
salesforce	salesforce-dpa	dpa	404	no			
salesforce	salesforce-subprocessors	subprocessors_list	404	no			
sanity	sanity-dpa	dpa	404	no			
sanity	sanity-subprocessors	subprocessors_list	404	no			
scrut-automation	scrut-automation-compliance	compliance_page	404	no			
scrut-automation	scrut-automation-dpa	dpa	404	yes	10	https://www.scrut.io/dpa	Data Protection Addendum
scrut-automation	scrut-automation-subprocessors	subprocessors_list	404	no			
secureframe	secureframe-subprocessors	subprocessors_list	404	yes	10	https://secureframe.com/subprocessor-list	Secureframe: Build trust. Unlock growth.
shift-technology	shift-technology-security	security_page	404	yes	10	https://www.shift-technology.com/security	Security
shopify	shopify-subprocessors	subprocessors_list	404	no			
slack	slack-subprocessors	subprocessors_list	404	no		https://slack.com/trust/privacy/privacy-policy	Privacy Policy | Legal | Slack
snowflake	snowflake-compliance	compliance_page	404	no			
snowflake	snowflake-security	security_page	404	yes	10	https://www.snowflake.com/en/why-snowflake/snowflake-security-hub	Snowflake Security and Trust Center: Built-In Data Protection
splunk	splunk-compliance	compliance_page	404	no			
splunk	splunk-subprocessors	subprocessors_list	404	no			
sumsub	sumsub-security	security_page	404	no			
supabase	supabase-subprocessors	subprocessors_list	404	no		https://supabase.com/privacy	Privacy Policy | Supabase
surveymonkey	surveymonkey-subprocessors	subprocessors_list	404	no			
trustarc	trustarc-security	security_page	404	no	3	https://trustarc.com/products/consent-consumer-rights/trust-center	Unified Trust Center | TrustArc
twilio	twilio-security	security_page	404	yes	10	https://www.twilio.com/en-us/security	Secure Communications with Twilio | Twilio
vercel	vercel-subprocessors	subprocessors_list	404	no		https://vercel.com/legal	Legal | Vercel
weaviate	weaviate-privacy	privacy_notice	404	yes	17	https://weaviate.io/privacy	Weaviate Privacy Policy | Weaviate
weaviate	weaviate-subprocessors	subprocessors_list	404	yes	10	https://weaviate.io/subprocessors	Weaviate List of Subprocessors | Weaviate
wix	wix-subprocessors	subprocessors_list	404	no			
workday	workday-inc-terms	terms_of_service	404	no			
zendesk	zendesk-compliance	compliance_page	404	yes	10	https://www.zendesk.com/trust-center	Security, Privacy and Legal | Zendesk Trust Center
zoho	zoho-dpa	dpa	404	no			
zoom	zoom-dpa	dpa	404	no			
