vendor_id	source_id	source_type	status	review_state	source_url
acuity-scheduling	acuity-scheduling-privacy	privacy_notice	404	quarantined	https://www.acuityscheduling.com/privacy
acuity-scheduling	acuity-scheduling-security	security_page	404	quarantined	https://www.acuityscheduling.com/security
adp	adp-dpa	dpa	404		https://www.adp.com/legal/data-privacy/data-processing-addendum.aspx
adp	adp-subprocessors	subprocessors_list	404		https://www.adp.com/legal/data-privacy/subprocessors.aspx
aliyun	aliyun-compliance	compliance_page	404		https://www.aliyun.com/trust-center
aliyun	aliyun-dpa	dpa	404		https://terms.aliyun.com/legal-agreement/terms/suit_bu1_ali_cloud/suit_bu1_ali_cloud202109221836_54211.html
aliyun	aliyun-security	security_page	404		https://www.aliyun.com/product/security
auth0	auth0-compliance	compliance_page	404		https://auth0.com/security/compliance
auth0	auth0-dpa	dpa	404		https://auth0.com/legal/data-processing-addendum
auth0	auth0-subprocessors	subprocessors_list	404		https://auth0.com/legal/subprocessors
bamboohr	bamboohr-subprocessors	subprocessors_list	404		https://www.bamboohr.com/legal/subprocessors
bill-com	bill-com-subprocessors	subprocessors_list	404		https://www.bill.com/legal/subprocessors
bitdefender	bitdefender-terms	terms_of_service	404		https://www.bitdefender.com/en-us/site/view/legal-terms-of-use
cohere	cohere-dpa	dpa	404		https://cohere.com/data-processing-addendum
contentful	contentful-compliance	compliance_page	404		https://www.contentful.com/security/compliance/
darwinbox	darwinbox-security	security_page	404		https://darwinbox.com/security/
deel	deel-subprocessors	subprocessors_list	404		https://www.deel.com/legal/subprocessors
docker	docker-subprocessors	subprocessors_list	404		https://www.docker.com/legal/subprocessors/
dropbox	dropbox-subprocessors	subprocessors_list	404		https://assets.dropbox.com/documents/en/legal/data-transfer-and-subprocessors.pdf
greythr	greythr-security	security_page	404		https://www.greythr.com/security/
gusto	gusto-security	security_page	403	human_reviewed	https://gusto.com/security
huawei-cloud-cn	huawei-cloud-cn-compliance	compliance_page	404		https://www.huaweicloud.com/trustcenter/compliance.html
huawei-cloud-cn	huawei-cloud-cn-security	security_page	404		https://www.huaweicloud.com/trustcenter/
huawei-cloud-international	huawei-cloud-international-compliance	compliance_page	404		https://www.huaweicloud.com/intl/en-us/trust-center/compliance.html
huawei-cloud-international	huawei-cloud-international-security	security_page	404		https://www.huaweicloud.com/intl/en-us/trust-center/
hugging-face	hugging-face-dpa	dpa	404		https://huggingface.co/data-processing-addendum
hugging-face	hugging-face-subprocessors	subprocessors_list	404		https://huggingface.co/subprocessors
hyperproof	hyperproof-compliance	compliance_page	404		https://hyperproof.io/compliance/
hyperproof	hyperproof-dpa	dpa	404		https://hyperproof.io/data-processing-addendum/
ibm-cloud	ibm-cloud-subprocessors	subprocessors_list	404		https://www.ibm.com/support/customer/csol/terms/subprocessors
intercom	intercom-subprocessors	subprocessors_list	404		https://www.intercom.com/legal/subprocessors
lattice	lattice-dpa	dpa	404		https://lattice.com/data-processing-addendum
microsoft	microsoft-security	security_page	404		https://www.microsoft.com/en-us/trust-center/security
miro	miro-security	security_page	404		https://miro.com/security/
mistral-ai	mistral-ai-dpa	dpa	200	human_reviewed	https://legal.mistral.ai/terms/data-processing-addendum
mistral-ai	mistral-ai-security	security_page	404		https://mistral.ai/security/
mistral-ai	mistral-ai-subprocessors	subprocessors_list	404		https://mistral.ai/terms/subprocessors/
mixpanel	mixpanel-security	security_page	404		https://mixpanel.com/security/
monday	monday-subprocessors	subprocessors_list	404	human_reviewed	https://monday.com/l/subprocessors/
new-relic	new-relic-dpa	dpa	404		https://newrelic.com/termsandconditions/data-processing-addendum
new-relic	new-relic-subprocessors	subprocessors_list	404		https://newrelic.com/termsandconditions/subprocessors
odoo	odoo-dpa	dpa	404		https://www.odoo.com/privacy/dpa
okta	okta-dpa	dpa	404		https://www.okta.com/legal/data-processing-addendum/
okta	okta-inc-terms	terms_of_service	404		https://www.okta.com/terms-of-use/
okta	okta-subprocessors	subprocessors_list	404		https://www.okta.com/subprocessors/
onepassword	onepassword-dpa	dpa	404		https://1password.com/legal/data-processing-addendum
onepassword	onepassword-subprocessors	subprocessors_list	404		https://1password.com/legal/subprocessors
onetrust	onetrust-subprocessors	subprocessors_list	404		https://www.onetrust.com/legal/subprocessors/
oracle-cloud	oracle-cloud-subprocessors	subprocessors_list	404		https://www.oracle.com/corporate/cloud-compliance/subprocessors/
pagerduty	pagerduty-compliance	compliance_page	404		https://www.pagerduty.com/security/compliance/
pinecone	pinecone-privacy	privacy_notice	404		https://www.pinecone.io/privacy-policy/
planetscale	planetscale-security	security_page	404		https://planetscale.com/security
posthog	posthog-compliance	compliance_page	404		https://posthog.com/security#compliance
posthog	posthog-security	security_page	404		https://posthog.com/security
qualtrics	qualtrics-dpa	dpa	404		https://www.qualtrics.com/legal/data-processing-agreement/
qualtrics	qualtrics-subprocessors	subprocessors_list	404		https://www.qualtrics.com/subprocessors/
quickbooks	quickbooks-dpa	dpa	404		https://www.intuit.com/legal/data-processing-agreement/
retool	retool-privacy	privacy_notice	200	human_reviewed	https://docs.retool.com/legal/privacy-policy
retool	retool-security	security_page	404		https://retool.com/security
rippling	rippling-dpa	dpa	404		https://www.rippling.com/legal/data-processing-addendum
rippling	rippling-privacy	privacy_notice	404		https://www.rippling.com/privacy
rippling	rippling-subprocessors	subprocessors_list	404		https://www.rippling.com/legal/subprocessors
salesforce	salesforce-dpa	dpa	404		https://www.salesforce.com/company/privacy/data-processing-addendum/
salesforce	salesforce-subprocessors	subprocessors_list	404		https://www.salesforce.com/company/privacy/infrastructure-sub-processors/
sanity	sanity-dpa	dpa	404		https://www.sanity.io/legal/dpa
sanity	sanity-subprocessors	subprocessors_list	404		https://www.sanity.io/legal/subprocessors
scrut-automation	scrut-automation-compliance	compliance_page	404		https://www.scrut.io/compliance
scrut-automation	scrut-automation-dpa	dpa	404		https://www.scrut.io/data-processing-addendum
scrut-automation	scrut-automation-subprocessors	subprocessors_list	404		https://www.scrut.io/subprocessors
secureframe	secureframe-subprocessors	subprocessors_list	404		https://secureframe.com/legal/subprocessors
shift-technology	shift-technology-security	security_page	404		https://www.shift-technology.com/en/security
shopify	shopify-subprocessors	subprocessors_list	404		https://www.shopify.com/legal/subprocessors
slack	slack-subprocessors	subprocessors_list	404		https://slack.com/subprocessors
snowflake	snowflake-compliance	compliance_page	404		https://www.snowflake.com/en/trust/compliance/
snowflake	snowflake-security	security_page	404		https://www.snowflake.com/en/trust/
splunk	splunk-compliance	compliance_page	404		https://www.splunk.com/en_us/about-splunk/splunk-security/compliance.html
splunk	splunk-subprocessors	subprocessors_list	404		https://www.splunk.com/en_us/legal/subprocessors.html
sumsub	sumsub-security	security_page	404		https://sumsub.com/security/
supabase	supabase-subprocessors	subprocessors_list	404		https://supabase.com/legal/subprocessors
surveymonkey	surveymonkey-subprocessors	subprocessors_list	404		https://www.surveymonkey.com/mp/legal/subprocessors/
trustarc	trustarc-security	security_page	404		https://trustarc.com/security/
twilio	twilio-security	security_page	404		https://www.twilio.com/en-us/trust/security
vercel	vercel-subprocessors	subprocessors_list	404		https://vercel.com/legal/subprocessors
weaviate	weaviate-privacy	privacy_notice	404		https://weaviate.io/privacy-policy
weaviate	weaviate-subprocessors	subprocessors_list	404		https://weaviate.io/legal/subprocessors
wix	wix-subprocessors	subprocessors_list	404		https://support.wix.com/en/article/list-of-wix-subprocessors
workday	workday-inc-terms	terms_of_service	404		https://www.workday.com/en-us/legal/terms-and-conditions.html
zendesk	zendesk-compliance	compliance_page	404		https://www.zendesk.com/trust-center/compliance/
zoho	zoho-dpa	dpa	404		https://www.zoho.com/privacy/dpa.html
zoom	zoom-dpa	dpa	404		https://www.zoom.com/en/trust/legal-compliance/data-processing-addendum/
