id,display_name,official_domain,country,listing_url,description
lovable,Lovable,lovable.dev,SE,https://lovable.dev,developer SaaS; developer_platform
bolt-new,Bolt.new,bolt.new,US,https://bolt.new,developer SaaS; developer_platform
replit,Replit,replit.com,US,https://replit.com,"developer SaaS; developer_platform,cloud_infrastructure"
vercel,Vercel,vercel.com,US,https://vercel.com,"developer SaaS; developer_platform,cloud_infrastructure"
v0,v0,v0.dev,US,https://v0.dev,developer SaaS; developer_platform
cursor,Cursor,cursor.com,US,https://cursor.com,"developer SaaS; developer_platform,ai_platform"
windsurf,Windsurf,windsurf.com,US,https://windsurf.com,"developer SaaS; developer_platform,ai_platform"
base44,Base44,base44.com,IL,https://base44.com,developer SaaS; developer_platform
bubble,Bubble,bubble.io,US,https://bubble.io,developer SaaS; developer_platform
glide,Glide,glideapps.com,US,https://glideapps.com,developer SaaS; developer_platform
softr,Softr,softr.io,DE,https://softr.io,developer SaaS; developer_platform
flutterflow,FlutterFlow,flutterflow.io,US,https://flutterflow.io,developer SaaS; developer_platform
weweb,WeWeb,weweb.io,FR,https://weweb.io,developer SaaS; developer_platform
retool,Retool,retool.com,US,https://retool.com,developer SaaS; developer_platform
appsmith,Appsmith,appsmith.com,US,https://appsmith.com,developer SaaS; developer_platform
tooljet,ToolJet,tooljet.ai,US,https://tooljet.ai,developer SaaS; developer_platform
xano,Xano,xano.com,US,https://xano.com,"developer SaaS; developer_platform,database"
backendless,Backendless,backendless.com,US,https://backendless.com,"developer SaaS; developer_platform,database"
draftbit,Draftbit,draftbit.com,US,https://draftbit.com,developer SaaS; developer_platform
framer,Framer,framer.com,NL,https://framer.com,"developer SaaS; content_management,developer_platform"
builder-io,Builder.io,builder.io,US,https://builder.io,"developer SaaS; content_management,developer_platform"
stackblitz,StackBlitz,stackblitz.com,US,https://stackblitz.com,developer SaaS; developer_platform
codesandbox,CodeSandbox,codesandbox.io,NL,https://codesandbox.io,developer SaaS; developer_platform
gitpod,Gitpod,gitpod.io,DE,https://gitpod.io,developer SaaS; developer_platform
e2b,E2B,e2b.dev,US,https://e2b.dev,"developer SaaS; developer_platform,ai_platform"
modal,Modal,modal.com,US,https://modal.com,"developer SaaS; cloud_infrastructure,ai_platform"
val-town,Val Town,val.town,US,https://val.town,"developer SaaS; developer_platform,cloud_infrastructure"
daytona,Daytona,daytona.io,US,https://daytona.io,developer SaaS; developer_platform
netlify,Netlify,netlify.com,US,https://netlify.com,"developer SaaS; developer_platform,cloud_infrastructure"
render,Render,render.com,US,https://render.com,"developer SaaS; developer_platform,cloud_infrastructure"
railway,Railway,railway.com,US,https://railway.com,"developer SaaS; developer_platform,cloud_infrastructure"
fly-io,Fly.io,fly.io,US,https://fly.io,"developer SaaS; developer_platform,cloud_infrastructure"
deno,Deno,deno.com,US,https://deno.com,"developer SaaS; developer_platform,cloud_infrastructure"
koyeb,Koyeb,koyeb.com,FR,https://koyeb.com,"developer SaaS; developer_platform,cloud_infrastructure"
northflank,Northflank,northflank.com,GB,https://northflank.com,"developer SaaS; developer_platform,cloud_infrastructure"
heroku,Heroku,heroku.com,US,https://heroku.com,"developer SaaS; developer_platform,cloud_infrastructure"
firebase,Firebase,firebase.google.com,US,https://firebase.google.com,"developer SaaS; developer_platform,database,cloud_infrastructure"
doppler,Doppler,doppler.com,US,https://doppler.com,"developer SaaS; developer_platform,security"
infisical,Infisical,infisical.com,US,https://infisical.com,"developer SaaS; developer_platform,security"
ngrok,ngrok,ngrok.com,US,https://ngrok.com,"developer SaaS; developer_platform,cloud_infrastructure"
tailscale,Tailscale,tailscale.com,CA,https://tailscale.com,"developer SaaS; developer_platform,security"
supabase,Supabase,supabase.com,US,https://supabase.com,"developer SaaS; database,developer_platform"
neon,Neon,neon.com,US,https://neon.com,"developer SaaS; database,developer_platform"
planetscale,PlanetScale,planetscale.com,US,https://planetscale.com,"developer SaaS; database,developer_platform"
turso,Turso,turso.tech,US,https://turso.tech,"developer SaaS; database,developer_platform"
convex,Convex,convex.dev,US,https://convex.dev,"developer SaaS; database,developer_platform"
upstash,Upstash,upstash.com,US,https://upstash.com,"developer SaaS; database,developer_platform"
cockroach-labs,Cockroach Labs,cockroachlabs.com,US,https://cockroachlabs.com,"developer SaaS; database,data_platform"
clickhouse,ClickHouse,clickhouse.com,US,https://clickhouse.com,"developer SaaS; database,data_platform,analytics_bi"
aiven,Aiven,aiven.io,FI,https://aiven.io,"developer SaaS; database,data_platform"
timescale,Timescale,timescale.com,US,https://timescale.com,"developer SaaS; database,data_platform"
xata,Xata,xata.io,US,https://xata.io,"developer SaaS; database,developer_platform"
fauna,Fauna,fauna.com,US,https://fauna.com,"developer SaaS; database,developer_platform"
tembo,Tembo,tembo.io,US,https://tembo.io,"developer SaaS; database,developer_platform"
prisma,Prisma,prisma.io,US,https://prisma.io,"developer SaaS; database,developer_platform"
hasura,Hasura,hasura.io,US,https://hasura.io,"developer SaaS; database,developer_platform"
nhost,Nhost,nhost.io,SE,https://nhost.io,"developer SaaS; database,developer_platform"
appwrite,Appwrite,appwrite.io,US,https://appwrite.io,"developer SaaS; database,developer_platform"
clerk,Clerk,clerk.com,US,https://clerk.com,"developer SaaS; identity_access,security"
workos,WorkOS,workos.com,US,https://workos.com,"developer SaaS; identity_access,security"
