id,display_name,official_domain,country,listing_url,description
stytch,Stytch,stytch.com,US,https://stytch.com,"developer SaaS; identity_access,security"
descope,Descope,descope.com,US,https://descope.com,"developer SaaS; identity_access,security"
kinde,Kinde,kinde.com,AU,https://kinde.com,"developer SaaS; identity_access,security"
propelauth,PropelAuth,propelauth.com,US,https://propelauth.com,"developer SaaS; identity_access,security"
scalekit,Scalekit,scalekit.com,US,https://scalekit.com,"developer SaaS; identity_access,security"
authgear,Authgear,authgear.com,HK,https://authgear.com,"developer SaaS; identity_access,security"
zitadel,ZITADEL,zitadel.com,CH,https://zitadel.com,"developer SaaS; identity_access,security"
supertokens,SuperTokens,supertokens.com,US,https://supertokens.com,"developer SaaS; identity_access,security"
logto,Logto,logto.io,US,https://logto.io,"developer SaaS; identity_access,security"
fusionauth,FusionAuth,fusionauth.io,US,https://fusionauth.io,"developer SaaS; identity_access,security"
ory,Ory,ory.sh,US,https://ory.sh,"developer SaaS; identity_access,security"
frontegg,Frontegg,frontegg.com,IL,https://frontegg.com,"developer SaaS; identity_access,security"
corbado,Corbado,corbado.com,DE,https://corbado.com,"developer SaaS; identity_access,security"
paddle,Paddle,paddle.com,GB,https://paddle.com,"developer SaaS; payments,financial_infrastructure"
lemon-squeezy,Lemon Squeezy,lemonsqueezy.com,US,https://lemonsqueezy.com,"developer SaaS; payments,financial_infrastructure"
revenuecat,RevenueCat,revenuecat.com,US,https://revenuecat.com,"developer SaaS; payments,financial_infrastructure"
polar,Polar,polar.sh,SE,https://polar.sh,"developer SaaS; payments,financial_infrastructure"
chargebee,Chargebee,chargebee.com,US,https://chargebee.com,"developer SaaS; payments,financial_infrastructure"
recurly,Recurly,recurly.com,US,https://recurly.com,"developer SaaS; payments,financial_infrastructure"
braintree,Braintree,braintreepayments.com,US,https://braintreepayments.com,"developer SaaS; payments,financial_infrastructure"
zuora,Zuora,zuora.com,US,https://zuora.com,"developer SaaS; payments,financial_infrastructure"
orb,Orb,withorb.com,US,https://withorb.com,"developer SaaS; payments,financial_infrastructure"
metronome,Metronome,metronome.com,US,https://metronome.com,"developer SaaS; payments,financial_infrastructure"
stigg,Stigg,stigg.io,IL,https://stigg.io,"developer SaaS; payments,financial_infrastructure"
lago,Lago,getlago.com,FR,https://getlago.com,"developer SaaS; payments,financial_infrastructure"
resend,Resend,resend.com,US,https://resend.com,"developer SaaS; customer_engagement,developer_platform"
postmark,Postmark,postmarkapp.com,US,https://postmarkapp.com,"developer SaaS; customer_engagement,developer_platform"
sendgrid,SendGrid,sendgrid.com,US,https://sendgrid.com,"developer SaaS; customer_engagement,developer_platform"
mailgun,Mailgun,mailgun.com,US,https://mailgun.com,"developer SaaS; customer_engagement,developer_platform"
mailersend,MailerSend,mailersend.com,LT,https://mailersend.com,"developer SaaS; customer_engagement,developer_platform"
loops,Loops,loops.so,US,https://loops.so,"developer SaaS; customer_engagement,marketing_technology"
customer-io,Customer.io,customer.io,US,https://customer.io,"developer SaaS; customer_engagement,marketing_technology"
knock,Knock,knock.app,US,https://knock.app,"developer SaaS; customer_engagement,developer_platform"
courier,Courier,courier.com,US,https://courier.com,"developer SaaS; customer_engagement,developer_platform"
novu,Novu,novu.co,US,https://novu.co,"developer SaaS; customer_engagement,developer_platform"
twilio,Twilio,twilio.com,US,https://twilio.com,"developer SaaS; customer_engagement,developer_platform"
vonage,Vonage,vonage.com,US,https://vonage.com,"developer SaaS; customer_engagement,developer_platform"
telnyx,Telnyx,telnyx.com,US,https://telnyx.com,"developer SaaS; customer_engagement,developer_platform"
plivo,Plivo,plivo.com,US,https://plivo.com,"developer SaaS; customer_engagement,developer_platform"
pusher,Pusher,pusher.com,GB,https://pusher.com,"developer SaaS; customer_engagement,developer_platform"
ably,Ably,ably.com,GB,https://ably.com,"developer SaaS; customer_engagement,developer_platform"
stream,Stream,getstream.io,US,https://getstream.io,"developer SaaS; customer_engagement,developer_platform"
sendbird,Sendbird,sendbird.com,US,https://sendbird.com,"developer SaaS; customer_engagement,developer_platform"
cometchat,CometChat,cometchat.com,US,https://cometchat.com,"developer SaaS; customer_engagement,developer_platform"
onesignal,OneSignal,onesignal.com,US,https://onesignal.com,"developer SaaS; customer_engagement,developer_platform"
bird,Bird,bird.com,NL,https://bird.com,"developer SaaS; customer_engagement,developer_platform"
sinch,Sinch,sinch.com,SE,https://sinch.com,"developer SaaS; customer_engagement,developer_platform"
posthog,PostHog,posthog.com,US,https://posthog.com,"developer SaaS; analytics_bi,developer_platform"
better-stack,Better Stack,betterstack.com,CZ,https://betterstack.com,"developer SaaS; observability,developer_platform"
axiom,Axiom,axiom.co,US,https://axiom.co,"developer SaaS; observability,developer_platform"
honeycomb,Honeycomb,honeycomb.io,US,https://honeycomb.io,"developer SaaS; observability,developer_platform"
highlight,Highlight,highlight.io,US,https://highlight.io,"developer SaaS; observability,developer_platform"
logrocket,LogRocket,logrocket.com,US,https://logrocket.com,"developer SaaS; observability,analytics_bi"
fullstory,FullStory,fullstory.com,US,https://fullstory.com,"developer SaaS; analytics_bi,marketing_technology"
mixpanel,Mixpanel,mixpanel.com,US,https://mixpanel.com,"developer SaaS; analytics_bi,marketing_technology"
amplitude,Amplitude,amplitude.com,US,https://amplitude.com,"developer SaaS; analytics_bi,marketing_technology"
plausible,Plausible,plausible.io,EE,https://plausible.io,developer SaaS; analytics_bi
fathom-analytics,Fathom Analytics,usefathom.com,CA,https://usefathom.com,developer SaaS; analytics_bi
heap,Heap,heap.io,US,https://heap.io,"developer SaaS; analytics_bi,marketing_technology"
segment,Twilio Segment,segment.com,US,https://segment.com,"developer SaaS; data_platform,marketing_technology"
