id,display_name,official_domain,country,listing_url,description
checkly,Checkly,checklyhq.com,DE,https://checklyhq.com,"developer SaaS; observability,developer_platform"
incident-io,incident.io,incident.io,GB,https://incident.io,"developer SaaS; observability,developer_platform"
rootly,Rootly,rootly.com,US,https://rootly.com,"developer SaaS; observability,developer_platform"
uptimerobot,UptimeRobot,uptimerobot.com,US,https://uptimerobot.com,developer SaaS; observability
algolia,Algolia,algolia.com,US,https://algolia.com,"developer SaaS; data_platform,developer_platform"
pinecone,Pinecone,pinecone.io,US,https://pinecone.io,"developer SaaS; database,ai_platform"
qdrant,Qdrant,qdrant.tech,DE,https://qdrant.tech,"developer SaaS; database,ai_platform"
typesense,Typesense,typesense.org,US,https://typesense.org,"developer SaaS; database,developer_platform"
meilisearch,Meilisearch,meilisearch.com,FR,https://meilisearch.com,"developer SaaS; database,developer_platform"
chroma,Chroma,trychroma.com,US,https://trychroma.com,"developer SaaS; database,ai_platform"
zilliz,Zilliz,zilliz.com,US,https://zilliz.com,"developer SaaS; database,ai_platform"
groq,Groq,groq.com,US,https://groq.com,"developer SaaS; ai_platform,developer_platform"
together-ai,Together AI,together.ai,US,https://together.ai,"developer SaaS; ai_platform,developer_platform"
fireworks-ai,Fireworks AI,fireworks.ai,US,https://fireworks.ai,"developer SaaS; ai_platform,developer_platform"
replicate,Replicate,replicate.com,US,https://replicate.com,"developer SaaS; ai_platform,developer_platform"
hugging-face,Hugging Face,huggingface.co,US,https://huggingface.co,"developer SaaS; ai_platform,developer_platform"
fal-ai,fal,fal.ai,US,https://fal.ai,"developer SaaS; ai_platform,developer_platform"
openrouter,OpenRouter,openrouter.ai,US,https://openrouter.ai,"developer SaaS; ai_platform,developer_platform"
deepinfra,DeepInfra,deepinfra.com,US,https://deepinfra.com,"developer SaaS; ai_platform,developer_platform"
perplexity,Perplexity,perplexity.ai,US,https://perplexity.ai,"developer SaaS; ai_platform,developer_platform"
elevenlabs,ElevenLabs,elevenlabs.io,US,https://elevenlabs.io,"developer SaaS; ai_platform,developer_platform"
assemblyai,AssemblyAI,assemblyai.com,US,https://assemblyai.com,"developer SaaS; ai_platform,developer_platform"
deepgram,Deepgram,deepgram.com,US,https://deepgram.com,"developer SaaS; ai_platform,developer_platform"
cartesia,Cartesia,cartesia.ai,US,https://cartesia.ai,"developer SaaS; ai_platform,developer_platform"
playht,PlayHT,play.ht,US,https://play.ht,"developer SaaS; ai_platform,developer_platform"
stability-ai,Stability AI,stability.ai,GB,https://stability.ai,"developer SaaS; ai_platform,developer_platform"
luma-ai,Luma AI,lumalabs.ai,US,https://lumalabs.ai,"developer SaaS; ai_platform,developer_platform"
runway,Runway,runwayml.com,US,https://runwayml.com,"developer SaaS; ai_platform,developer_platform"
cloudinary,Cloudinary,cloudinary.com,US,https://cloudinary.com,"developer SaaS; content_management,developer_platform"
uploadcare,Uploadcare,uploadcare.com,US,https://uploadcare.com,"developer SaaS; content_management,developer_platform"
imagekit,ImageKit,imagekit.io,IN,https://imagekit.io,"developer SaaS; content_management,developer_platform"
filestack,Filestack,filestack.com,US,https://filestack.com,"developer SaaS; content_management,developer_platform"
mux,Mux,mux.com,US,https://mux.com,"developer SaaS; content_management,developer_platform"
bunny-net,bunny.net,bunny.net,SI,https://bunny.net,"developer SaaS; cloud_infrastructure,content_management"
backblaze,Backblaze,backblaze.com,US,https://backblaze.com,developer SaaS; cloud_infrastructure
wasabi,Wasabi,wasabi.com,US,https://wasabi.com,developer SaaS; cloud_infrastructure
transloadit,Transloadit,transloadit.com,DE,https://transloadit.com,"developer SaaS; content_management,developer_platform"
uploadthing,UploadThing,uploadthing.com,US,https://uploadthing.com,"developer SaaS; content_management,developer_platform"
hygraph,Hygraph,hygraph.com,DE,https://hygraph.com,developer SaaS; content_management
datocms,DatoCMS,datocms.com,IT,https://datocms.com,developer SaaS; content_management
directus,Directus,directus.io,US,https://directus.io,"developer SaaS; content_management,developer_platform"
payload,Payload,payloadcms.com,US,https://payloadcms.com,"developer SaaS; content_management,developer_platform"
ghost,Ghost,ghost.org,GB,https://ghost.org,developer SaaS; content_management
wordpress-com,WordPress.com,wordpress.com,US,https://wordpress.com,"developer SaaS; content_management,ecommerce_platform"
zapier,Zapier,zapier.com,US,https://zapier.com,developer SaaS; developer_platform
make,Make,make.com,CZ,https://make.com,developer SaaS; developer_platform
pipedream,Pipedream,pipedream.com,US,https://pipedream.com,developer SaaS; developer_platform
trigger-dev,Trigger.dev,trigger.dev,GB,https://trigger.dev,developer SaaS; developer_platform
inngest,Inngest,inngest.com,US,https://inngest.com,developer SaaS; developer_platform
temporal,Temporal,temporal.io,US,https://temporal.io,developer SaaS; developer_platform
windmill,Windmill,windmill.dev,FR,https://windmill.dev,developer SaaS; developer_platform
hookdeck,Hookdeck,hookdeck.com,CA,https://hookdeck.com,developer SaaS; developer_platform
svix,Svix,svix.com,US,https://svix.com,developer SaaS; developer_platform
n8n,n8n,n8n.io,DE,https://n8n.io,developer SaaS; developer_platform
workato,Workato,workato.com,US,https://workato.com,developer SaaS; developer_platform
tray-ai,Tray.ai,tray.ai,GB,https://tray.ai,developer SaaS; developer_platform
activepieces,Activepieces,activepieces.com,US,https://activepieces.com,developer SaaS; developer_platform
launchdarkly,LaunchDarkly,launchdarkly.com,US,https://launchdarkly.com,developer SaaS; developer_platform
configcat,ConfigCat,configcat.com,HU,https://configcat.com,developer SaaS; developer_platform
flagsmith,Flagsmith,flagsmith.com,GB,https://flagsmith.com,developer SaaS; developer_platform
